"./data/tempData/16832.c 7,5,143 25,5,143 143,6,55 241,5,143 16,5,143 143,6,15 7,5,5 55,17,143 593,161,55 593,162,143 143,7,15 593,162,143 593,161,15 16,17,143 593,161,16 593,162,143 241,17,143 16,17,143 560,161,16 560,162,143 241,459,560 143,460,560 143,2172,16 143,7,25 143,7,55 15,17,143 3383,162,143 3383,161,55 143,165,15 55,166,15 55,163,143 143,460,3383 25,459,3383 25,3097,143 25,17,143 14,7,585 25,862,14 143,861,14 143,500,585 25,17,143 16,17,143 143,7,241 1444,161,25 1444,162,143 25,166,16 143,165,16 143,164,143 16,163,143 143,164,143 143,165,241 143,7,55 1344,162,143 1344,161,55 143,168,1344 241,169,1344 241,243,143 143,7,25 14,7,585 143,873,14 25,872,14 25,886,585 55,17,143 1344,161,55 1344,162,143 14,3130,1344 585,3705,1344 585,60434,55 14,23683,1444 585,12497,1444 585,51491,25 143,41258,143 55,48635,143 55,41256,25 7,62,25 143,61,25 143,60,143 25,59,143 143,60,143 143,61,55 143,61,241 55,62,241 55,59,143 241,62,16 143,61,16 143,60,143 16,59,143 143,60,143 143,61,15 143,61,7 15,62,7 15,59,5 7,63,593 5,64,593 5,1573,55 55,169,593 143,168,593 143,241,143 143,168,593 15,169,593 15,170,16 16,2955,241 143,2958,241 143,2953,143 16,6267,143 143,6266,143 143,6912,25 15,23680,25 143,78159,25 143,23678,143 21,2,6 21,78,7 6,79,7 6,80,143"
"./data/tempData/47583.c 5,6,97 171,6,25 31,5,5 22,5,5 465,6,16 5,6,35 228,5,5 5,6,7 65,6,214 15,5,171 9,5,5 2024,5,65 14,7,33 9,17,5 14,191,9 33,192,9 33,193,5 5,7,97 5,15,12 97,16,12 5,7,31 5,15,12 31,16,12 228,17,5 228,16,12 5,15,12 5,7,7 5,15,12 7,16,12 7,17,5 5,7,9 7,151,5 5,97,5 5,96,9 7,17,5 33,17,14 15,17,171 5,7,7 15,21,5 171,20,5 171,25,7 33,271,15 14,199,15 14,198,171 5,7,228 228,17,5 171,7,15 5,7,7 171,20,5 15,21,5 15,22,7 228,7383,171 5,7993,171 5,7381,15 5,305,228 228,304,228 228,824,5 5,5800,5 7,5926,5 7,5798,228 7,98,7 12,99,7 12,100,5 5,102,7 9,101,7 9,152,5 7,273,33 5,272,33 5,534,14 2024,17,65 5,7,228 5,116,725 228,115,725 5,7,9 228,49622,5 725,53378,5 725,53379,9 9,17,5 725,3836,9 725,3835,5 5,53817,725 9,53818,725 9,1843,9 2024,53819,5 65,53820,5 65,53821,228 65,7,214 65,15,12 214,16,12 7,17,5 7,16,12 5,15,12 5,7,7 9,17,5 5,96,9 7,95,9 7,151,5 7,17,5 465,7,16 5,7,7 465,20,5 16,21,5 16,22,7 15,17,171 7,17,5 15,22,7 171,25,7 171,20,5 2024,17,65 7,1220,2024 5,1083,2024 5,1082,65 5,2184,15 7,3013,15 7,2182,171 16,17,465 7,17,5 16,22,7 465,25,7 465,20,5 16,17,465 5,7,7 16,21,5 465,20,5 465,25,7 5,4367,12 7,4366,12 465,7,16 5,7,7 465,20,5 16,21,5 16,22,7 465,7,16 7,17,5 465,25,7 16,22,7 16,21,5 7,53822,465 12,53823,465 12,53824,16 5,53825,465 7,53826,465 7,53827,16 7,53828,16 5,53829,16 5,53830,465 465,7,16 5,7,7 465,20,5 16,21,5 16,22,7 214,17,65 5,2234,214 7,2798,214 7,2232,65 65,7,214 16,17,465 5,7,7 16,21,5 465,20,5 465,25,7 65,123,16 214,124,16 214,125,465 214,2800,65 65,2799,65 65,4376,214 2024,19275,16 65,52894,16 65,16465,465 7,53831,465 5,53832,465 5,53833,16 5,138,5 12,100,5 12,99,7 9,101,7 5,102,7 5,103,5 7,36,465 5,35,465 5,83,16 22,17,5 22,16,12 5,15,12 5,7,22 9,17,5 5,96,9 22,95,9 22,151,5 22,17,5 16,17,465 22,17,5 16,22,22 465,25,22 465,20,5 65,7,214 22,2807,65 5,4124,65 5,2805,214"
"./data/tempData/23203.c 9,5,5 5,6,7 23,5,65 8,5,5 23,17,65 23,16,20 65,15,20 5,7,9 10,8,27 10,9,5 27,10,5 27,11,9 5,7,9 5,692,12 9,691,12 71,8,20 7,17,5 7,16,20 5,15,20 7,17,5 9,17,5 7,467,9 5,466,9 5,471,5 5,7,7 65,7,23 65,22004,68 23,22005,68 5,519,7 20,30,7 20,31,5 9,469,5 5,32,5 5,470,7 5,34310,65 7,34309,65 7,39615,23 23,17,65 71,8,46 71,161,23 46,565,23 46,564,65 23,142492,71 68,79357,71 68,79358,46 9,3705,71 12,3131,71 12,3132,20 71,24577,7 20,24578,7 20,24579,5 9,59,5 5,60,5 5,61,7 5,61,23 7,62,23 7,59,65 23,62,8 65,61,8 65,60,5 8,217,23 5,228,23 5,215,65 65,463,10 20,2076,10 20,2077,27 5,7611,5 9,7612,5 9,7613,9 23,39737,12 65,39738,12 5,2,6 5,78,9 6,79,9 6,80,5"
"./data/tempData/48880.c 16,5,65 2900,5,65 59,5,65 9,5,5 65,6,25 65,6,15 5,6,7 59,5,65 9,17,5 10,8,27 10,93,9 27,11,9 27,10,5 5,7,7 5,15,20 7,16,20 7,17,5 5,7,9 7,468,5 5,471,5 5,466,9 5,7,7 65,7,15 16,17,65 65,7,25 10,8,2008 10,9,65 2008,10,65 2008,11,15 65,94,16 15,14,16 15,13,65 16,13,65 65,12,65 65,94,25 65,7,2900 65,7,16 65,7,16 65,1826,65 16,1825,65 16,2870,16 15,17,65 25,17,65 15,2870,25 65,1827,25 65,1826,65 173,13906,15 173,13907,65 65,2932,173 16,2931,173 16,48034,15 65,48035,65 2900,9669,65 2900,9668,16 65,7,2900 65,431,12 2900,432,12 65,7,59 65,7,16 65,7,2900 2677,162,65 2677,161,2900 65,48042,2677 16,48043,2677 16,48178,65 15,17,65 68,2921,15 68,2922,65 65,48009,68 2900,48008,68 2900,48179,15 65,48047,65 59,48046,65 59,48138,16 65,7,59 65,7,16 2900,17,65 2677,161,2900 2677,162,65 65,48050,2677 16,48049,2677 16,48218,2900 65,7,15 68,2922,65 68,2921,15 2900,48017,68 65,48018,68 65,48189,65 65,48143,65 59,48055,65 59,48054,16 59,17,65 65,7,59 71,8,2911 71,161,59 2911,565,59 2911,564,65 59,163,65 65,164,65 65,165,59 15,48057,65 65,48056,65 65,48074,59 65,48060,71 15,48059,71 15,48168,2911 65,7,2900 306,162,65 306,161,2900 65,23812,64 2900,23813,64 65,7,59 16,17,65 15,17,65 68,2921,15 68,2922,65 16,48037,68 65,48036,68 65,48062,15 65,48063,16 59,48064,16 59,48065,65 65,7,59 71,8,2913 71,162,65 2913,564,65 2913,565,59 15,48059,71 65,48060,71 65,48061,2913 65,7,59 16,17,65 65,7,2900 2677,48066,65 2677,48067,2900 16,48043,2677 65,48042,2677 65,49141,65 15,17,65 68,2921,15 68,2922,65 65,49142,68 2900,49143,68 2900,49144,15 65,48048,16 59,48138,16 59,48046,65 65,7,59 16,17,65 65,7,2900 2677,48066,65 2677,48067,2900 16,48049,2677 65,48050,2677 65,49145,65 15,17,65 68,2921,15 68,2922,65 65,49146,68 2900,49147,68 2900,49148,15 65,48053,16 59,48054,16 59,48055,65 16,17,65 306,161,16 306,162,65 16,23813,64 65,23812,64 65,7,16 65,7,15 68,2922,65 68,2921,15 65,9198,68 16,9199,68 16,2197,65 65,7,15 25,17,65 65,1827,25 15,2870,25 15,1825,65 173,13907,65 173,13906,15 65,7,16 16,17,65 65,1827,16 16,2870,16 16,1825,65 25,48088,65 65,48089,65 65,48090,16 2677,48091,173 2677,48099,65 65,7,15 68,2922,65 68,2921,15 16,48173,68 65,48172,68 65,48990,65 65,7,16"
"./data/tempData/35611.c 5,6,168 7,5,5 5,6,138 5,6,5893 214,5,5 9,5,5 5893,17,5 214,17,5 214,16,12 5,15,12 9,17,5 10,8,27 10,93,9 27,11,9 27,10,5 5,7,7 5,15,20 7,16,20 5,7,7 5,7,9 5,471,5 7,468,5 7,467,9 7,17,5 168,17,5 5,7,7 168,21,5 5,20,5 5,25,7 138,17,5 7,17,5 138,22,7 5,25,7 5,20,5 10,8,11 10,55,168 11,42,168 11,41,5 5,1072,138 7,1208,138 7,1070,5 168,17,5 7,17,5 168,22,7 5,25,7 5,20,5 7,2559,669 5,2558,669 5,7,168 5,7,7 5,20,5 168,21,5 168,22,7 5,4602,5300 7,4603,5300 5,7,138 7,17,5 5,25,7 138,22,7 138,21,5 7,2559,822 5,2558,822 138,17,5 5,7,7 138,21,5 5,20,5 5,25,7 5,4602,669 7,4603,669 5,4604,138 822,4605,138 822,4606,5 7,54133,5 5300,54134,5 5300,54135,138 5,32376,5 669,21817,5 669,21818,168 5,7,5893 5,7,7 5,20,5 5893,21,5 5893,22,7 5,7,5893 7,17,5 7,106,20 5,107,20 5,254,7 5893,253,7 5893,478,5 5,5124,20 20,4284,20 5,2177,5 7,2176,5 7,3012,5893 7,105071,5 669,103926,5 669,103927,5893 5,7,5893 7,17,5 5,25,7 5893,22,7 5893,21,5 5,7,214 7,864,5 5,863,5 5,5205,214 214,17,5 5893,17,5 5,7,7 5893,21,5 5,20,5 5,25,7 214,124,5893 5,123,5893 5,174,5 5,1337,214 214,6701,214 214,5206,5 7,103939,168 5,103892,168 5,103891,5 20,105219,5 20,105220,5 20,105221,5893 7,81,5 20,31,5 20,30,7 5,470,7 9,82,7 9,469,5 7,53,10 5,52,10 5,104,11 5,7,214 71,8,27 71,162,5 27,564,5 27,565,214 5,61,7 168,62,7 168,59,5 7,59,5 5,60,5 5,61,138 5,60,5 138,59,5 138,62,5893 5,61,214 5893,62,214 5893,59,5 214,62,9 5,61,9 5,60,5 9,217,5893 5,228,5893 5,215,5 5893,232,214 5,231,214 5,230,5 5,463,10 12,2076,10 12,2077,27 9,67,5 5,66,5 5,157,7 5,9577,71 7,9096,71 7,94795,27 5,244,12 214,245,12 5,2,6 5,190,5 6,80,5 6,79,168"
"./data/tempData/9020.c 22,5,5 16,5,5 5,6,25 5,6,214 5,6,97 5,6,7 9,5,5 23,5,5 15,17,14 15,292,420 14,291,420 14,398,67 420,399,67 5,7,9 10,8,27 10,9,5 27,10,5 27,11,9 7,17,5 7,16,12 5,15,12 7,17,5 9,17,5 7,95,9 5,96,9 5,97,5 5,7,7 5,7,16 5,7,7 5,20,5 16,21,5 16,22,7 15,17,14 5,7,7 15,21,5 14,20,5 14,25,7 10,8,565 10,40,5 565,41,5 565,42,16 5,4295,15 7,4296,15 7,4297,14 5,7,23 7,17,5 5,25,7 23,22,7 23,21,5 15,17,14 5,7,7 15,21,5 14,20,5 14,25,7 560,497,15 560,596,14 7,3163,560 5,3162,560 5,4827,15 5,5224,5 7,6582,5 7,5222,23 5,105,7 12,99,7 12,100,5 9,152,5 5,103,5 5,102,7 5,52,10 7,53,10 7,54,565 22,17,5 22,16,12 5,15,12 5,7,22 5,400,573 22,401,573 5,7,22 25,17,5 22,17,5 25,22,22 5,25,22 5,20,5 22,24,12 5,23,12 5,7,7 5,15,12 7,16,12 7,17,5 9,17,5 7,95,9 5,96,9 5,97,5 5,7,7 5,7,97 5,15,12 97,16,12 5,7,97 5,7,23 5,7,7 5,20,5 23,21,5 23,22,7 5,1194,5 97,1479,5 97,1192,23 97,17,5 15,17,14 5,7,7 15,21,5 14,20,5 14,25,7 97,17,5 5,543,97 7,404,97 7,403,5 22,17,5 590,3727,22 590,3728,5 97,4336,590 5,4337,590 5,4338,22 5,7,25 5,7,22 5,20,5 25,21,5 25,22,22 25,17,5 5,7,22 25,21,5 5,20,5 5,25,22 5,2969,20 22,2964,20 5,2178,25 22,3012,25 22,2176,5 22,6400,5 5,6107,5 5,7624,25 97,203,5 12,100,5 12,99,97 5,1419,97 7,1418,97 7,1481,5 97,4873,15 5,4833,15 5,4832,14 7,98,7 12,99,7 12,100,5 9,152,5 5,103,5 5,102,7 5,150,5 7,424,5 7,148,97 5,1703,5 12,77,5 12,76,7 5,138,5 12,100,5 12,99,22 22,152,5 573,408,5 573,409,22 5,83,25 22,37,25 22,36,5 5,7,214 5,15,12 214,16,12 7,17,5 7,16,12 5,15,12 5,7,7 5,400,573 7,401,573 5,7,7 25,17,5 5,7,7 25,21,5 5,20,5 5,25,7 5,7,214 5,2233,5 7,2232,5 7,2798,214 214,17,5 5,7,25 7,17,5 5,25,7 25,22,7 25,21,5 214,125,5 5,174,5 5,123,25 5,4376,214 214,2801,214"
"./data/tempData/8623.c 5,6,22 5,6,8 7,5,5 5,6,97 229,5,5 5,6,9 229,17,5 229,16,12 5,15,12 14,7,15 14,291,1034 15,292,1034 15,410,1034 1034,399,1034 1034,6514,1034 1034,399,1034 33,17,14 5,7,9 33,193,5 14,526,5 14,191,9 97,17,5 97,16,20 5,15,20 5,7,97 5,19,1029 97,18,1029 97,17,5 5,7,7 5,15,12 7,16,12 7,17,5 7,18,1029 5,19,1029 7,17,5 5,7,22 5,15,12 22,16,12 5,7,22 5,19,1029 22,18,1029 22,17,5 14,7,15 97,17,5 14,25,97 15,22,97 15,21,5 5,7,7 97,403,5 5,402,5 5,543,7 22,17,5 5,543,22 7,404,22 7,403,5 22,24,1018 5,23,1018 22,81,5 12,31,5 12,30,22 22,82,22 1029,34,22 1029,33,5 22,8715,14 5,8714,14 5,8867,15 7,29,7 12,30,7 12,31,5 5,470,7 1029,34,7 1029,33,5 7,424,5 5,150,5 5,149,22 5,601,5 20,31,5 20,30,97 97,82,97 1029,34,97 1029,33,5 97,424,5 5,150,5 5,149,7 7,17,5 7,16,20 5,15,20 7,17,5 9,17,5 7,467,9 5,466,9 5,471,5 5,7,7 5,7,22 5,15,20 22,16,20 22,17,5 9,17,5 22,467,9 5,466,9 5,471,5 22,17,5 33,17,14 15,17,14 15,292,20 14,291,20 7,17,5 14,543,7 20,347,7 20,346,5 5,7,22 7,403,5 5,402,5 5,543,22 33,8144,15 14,8145,15 14,8146,14 22,29,22 20,30,22 20,31,5 9,82,22 5,470,22 5,32,5 22,201,33 5,200,33 5,214,14 5,519,7 20,30,7 20,31,5 9,469,5 5,32,5 5,470,7 5,150,5 7,424,5 7,148,22 33,17,14 5,7,8 33,193,5 14,526,5 14,191,8 97,17,5 97,16,20 5,15,20 97,17,5 8,17,5 97,95,8 5,96,8 5,97,5 5,7,97 5,7,7 5,15,20 7,16,20 7,17,5 5,7,9 7,468,5 5,471,5 5,466,9 5,7,7 5,7,22 5,15,20 22,16,20 22,17,5 5,7,9 22,468,5 5,471,5 5,466,9 5,7,22 15,17,14 5,7,97 15,21,5 14,20,5 14,25,97 7,17,5 5,543,7 97,404,7 97,403,5 5,7,22 7,403,5 5,402,5 5,543,22 5,3311,1018 22,3310,1018 15,17,14 5,7,97 15,21,5 14,20,5 14,25,97 5,7,7 5,107,20 7,106,20 5,7717,5 97,554,5 97,1508,7 22,17,5 7,7888,22 20,4856,22 20,4855,5 22,3310,1017 5,3311,1017 14,7,15"
"./data/tempData/14082.c 5,6,22 5,6,16 5,6,59 5,6,9 5,6,15 52,5,5 17,5,5 9,17,5 9,16,12 5,15,12 15,17,5 15,16,12 5,15,12 59,17,5 59,16,20 5,15,20 52,17,5 52,16,20 5,15,20 17,17,5 17,16,12 5,15,12 22,17,5 22,16,12 5,15,12 14,7,33 5,7,9 14,526,5 33,193,5 33,192,9 5,7,16 5,15,20 16,16,20 16,17,5 9,17,5 16,467,9 5,466,9 5,471,5 5,7,16 16,17,5 16,115,20 5,116,20 5,305,16 16,304,16 16,824,5 7,5,5 5,6,25 16,5,5 33,17,14 15,17,5 33,192,15 14,191,15 14,526,5 7,17,5 7,16,20 5,15,20 7,17,5 15,17,5 7,467,15 5,466,15 5,471,5 5,7,7 7,17,5 7,115,20 5,116,20 5,305,7 7,304,7 7,824,5 5,7,22 7,17,5 7,2372,446 5,2371,446 5,2375,7 22,2382,7 22,2373,5 5,7,22 5,692,68 22,691,68 5,7,52 5,7,59 17,17,5 5,179,17 59,178,17 59,246,5 5,306,5 52,824,5 52,304,59 22,4718,5 68,4149,5 68,4150,52 5,7,22 5,692,20 22,691,20 5,7,59 52,17,5 17,17,5 52,178,17 5,179,17 5,180,5 5,305,52 59,304,52 59,824,5 22,4718,5 20,4149,5 20,4150,59 5,7,22 5,692,12 22,691,12 5,7,17 59,17,5 52,17,5 59,178,52 5,179,52 5,180,5 5,305,59 17,304,59 17,824,5 22,4718,5 12,4149,5 12,4150,17 5,56835,5 446,20134,5 446,20133,22 17,57612,5 5,57562,5 5,50987,22 17,57612,5 5,57562,5 5,50987,22 5,519,7 20,30,7 20,31,5 15,8827,5 5,9789,5 5,8825,7 5,10240,5 20,10241,5 20,10242,22 5,7,16 5,15,12 16,16,12 25,17,5 25,16,12 5,15,12 5,7,16 59,17,5 5,7,52 214,161,59 214,162,5 59,163,5 5,164,5 5,165,52 5,460,214 16,459,214 16,3623,59 5,7,25 16,17,5 17,17,5 214,161,16 214,162,5 16,166,17 5,165,17 5,164,5 5,460,214 25,459,214 25,3623,16 49,17,14 5,7,25 117,17,14 5,946,117 25,947,117 25,948,14 49,1536,5 14,1323,5 14,2007,25 59,17,5 59,16,20 5,15,20 5,7,52 5,15,20 52,16,20 5,7,17 5,15,12 17,16,12 7,59,5 5,60,5 5,61,25 5,61,16 25,62,16 25,59,5 16,204,33 5,205,33 5,206,14 15,1546,7 5,2113,7 5,1544,5 52,43353,5 5,29077,5 5,29076,16 16,232,25"
"./data/tempData/8007.c 15,17,14 15,292,1029 14,291,1029 14,398,1029 1029,399,1029 14,7,247 14,7,1066 7,17,14 22,17,14 97,17,14 228,17,14 97,1402,228 14,1401,228 14,1471,14 22,1472,97 14,1416,97 14,1415,14 7,1472,22 14,1416,22 14,1415,14 14,1416,7 1066,1472,7 1066,1414,14 14,1415,14 247,1414,14 247,1472,1066 1029,3612,14 1029,1405,14 1029,1406,247 14,7,33 247,17,14 14,7,1066 247,193,14 14,526,14 14,191,1066 14,196,247 33,270,247 33,194,14 228,17,14 247,17,14 14,7,1066 247,246,14 14,180,14 14,179,1066 228,304,247 14,305,247 14,306,14 7,17,14 7,16,20 14,15,20 14,7,7 14,7,247 14,471,14 7,468,14 7,467,247 7,17,14 22,17,14 22,16,20 14,15,20 14,7,22 1066,17,14 14,466,1066 22,467,1066 22,468,14 14,7,22 14,7,33 15,17,14 7,17,14 15,22,7 14,25,7 14,20,14 14,7,22 7,403,14 14,402,14 14,543,22 14,576,15 33,575,15 33,1480,14 14,601,14 20,31,14 20,30,22 1066,469,14 14,32,14 14,470,22 14,214,14 22,202,14 22,201,33 14,601,14 20,31,14 20,30,7 14,470,7 247,82,7 247,469,14 7,324,22 14,323,22 14,507,14 14,7,97 14,15,68 97,16,68 97,17,14 228,17,14 97,467,228 14,466,228 14,471,14 97,17,14 14,7,97 1066,17,14 1066,115,20 14,116,20 14,773,1066 97,772,1066 97,1440,14 14,7,7 14,15,20 7,16,20 22,17,14 97,17,14 97,106,20 14,107,20 22,584,97 14,999,97 14,582,14 14,7,49 15,17,14 14,7,7 15,21,14 14,20,14 14,25,7 14,7,22 14,402,14 7,403,14 7,404,22 117,17,14 14,2460,117 22,1360,117 22,1359,14 14,547,15 49,546,15 49,552,14 7,17,14 7,4339,20 14,4340,20 14,7,22 14,2360,20 22,2359,20 117,13347,7 14,13348,7 14,13349,14 14,13936,14 20,13937,14 20,13938,22 7,17,14 247,17,14 7,467,247 14,466,247 14,471,14 22,17,14 22,586,20 14,585,20 247,5986,22 14,10573,22 14,8321,14 22,14671,7 20,14672,7 20,14673,14 7,232,22 20,233,22 20,234,14 14,14674,14 20,12303,14 20,12302,49 7,17,14 14,7,97 14,7,1066 14,251,14 97,250,14 97,578,1066 7,583,14 14,582,14 14,999,97 22,17,14 14,7,97 7,17,14 14,252,7 97,578,7 97,250,14 22,583,14 14,582,14 14,999,97 14,7,49 14,7,15 14,7,7 14,20,14 15,21,14 15,22,7 22,17,14 14,543,22 7,404,22 7,403,14 14,7,117"
"./data/tempData/12282.c 16,172,5 5,171,25 16,17,5 25,17,5 16,95,25 5,96,25 5,97,5 16,17,5 25,54356,16 5,13706,16 5,13705,5 25,17,5 16,102162,25 5,148937,25 5,102160,5 5,2,79 5,219,16 79,220,16 79,221,5 16,326,5 5,224,5 5,223,25 5,13710,16 25,27358,16 25,13708,5 5,6,8 5,6,7 5,6,97 22,5,5 25,5,5 5,6,9 15,5,5 16,5,5 5,6,1020 9,17,5 10,8,27 10,93,9 27,11,9 27,10,5 1020,17,5 5,7,9 8,17,5 8,16,12 5,15,12 15,17,5 16,17,5 25,17,5 10,8,141 10,93,15 141,11,15 141,10,5 15,14,16 5,94,16 5,12,5 16,14,25 5,94,25 5,12,5 15,17,5 15,2372,173 5,2371,173 5,9013,12 173,9014,12 5,7,15 5,2371,67 15,2372,67 15,8242,12 67,19756,12 173,56966,5 12,56929,5 12,56928,15 15,17,5 15,2372,971 5,2371,971 5,9013,12 971,9014,12 67,66424,15 12,66425,15 12,66426,5 5,7,16 5,692,20 16,691,20 25,17,5 25,691,68 5,692,68 16,10665,25 20,10178,25 20,10177,5 16,17,5 16,691,68 5,692,68 25,17,5 25,691,20 5,692,20 5,11949,25 68,10178,25 68,10177,5 5,10668,16 68,27391,16 68,27392,5 71,8,588 71,4566,647 588,4567,647 5,7,25 5,19,68 25,18,68 16,17,5 16,432,68 5,431,68 25,11120,16 68,21538,16 68,21537,5 5,7,25 5,431,68 25,432,68 5,7,16 5,19,68 16,18,68 25,24886,5 68,22737,5 68,22736,16 5,127330,5 68,174759,5 68,174760,25 7,17,5 5,7,16 25,17,5 79,162,5 79,161,16 5,165,25 16,166,25 16,163,5 7,459,79 5,460,79 5,3096,5 7,17,5 16,17,5 25,17,5 214,161,16 214,162,5 16,166,25 5,165,25 5,164,5 7,3869,214 5,3870,214 5,3992,16 7,17,5 8,17,5 5,7,1020 7,17,5 5,25,7 1020,22,7 1020,21,5 8,20037,5 5,20038,5 5,20039,1020 25,100184,7 5,100185,7 5,100186,5 25,4011,7 5,4012,7 5,4013,5 7,24401,8 5,24400,8 5,24504,5 5,7,8 5,7,8 5,2371,216 8,2372,216 8,14575,12 216,9014,12 71,8,1115 71,4566,647 1115,4567,647 71,8,588 71,4566,647 588,4567,647 216,19876,71 12,3131,71 12,3132,1115 1115,849,71 647,9265,71 647,9266,588 7,174761,5 5,174762,5 5,174763,8 5,96213,5 8,96212,5 8,144404,8 5,7,25 16,17,5 5,874,16 25,886,16 25,872,5 71,8,588 71,4566,647 588,4567,647 5,7,7 16,17,5 25,17,5 79,161,16"
"./data/tempData/39399.c 14,7,247 14,7,1066 14,7,7 14,7,15 9,17,14 14,25,9 15,22,9 15,21,14 9,17,14 9,404,9 14,543,9 14,402,14 16,17,14 14,7,9 16,21,14 14,20,14 14,25,9 9,17,14 14,543,9 9,404,9 9,403,14 9,17,14 27,17,14 9,1402,27 14,1401,27 14,1471,14 9,3289,9 14,1417,9 14,1404,14 9,41453,16 14,5250,16 14,9766,14 14,1411,14 7,1412,14 7,1413,15 14,1415,14 1066,1414,14 1066,1472,7 14,1415,14 247,1414,14 247,1472,1066 247,17,14 247,16,12 14,15,12 247,17,14 9,17,14 247,95,9 14,96,9 14,97,14 14,7,247 14,7,1066 14,15,12 1066,16,12 1066,17,14 14,7,9 1066,151,14 14,97,14 14,96,9 1066,17,14 15,17,14 14,7,247 15,21,14 14,20,14 14,25,247 1066,17,14 14,543,1066 247,404,1066 247,403,14 1066,24,12 14,23,12 1066,98,1066 12,99,1066 12,100,14 14,102,1066 9,101,1066 9,152,14 1066,6915,15 14,6914,15 14,7202,14 14,105,247 12,99,247 12,100,14 9,152,14 14,103,14 14,102,247 14,507,14 247,325,14 247,324,1066 14,7,15 14,291,173 15,292,173 15,410,173 173,399,173 27,17,14 10,8,11 10,1503,14 11,407,14 11,406,15 173,92477,27 173,39377,27 173,39376,14 7,17,14 7,16,12 14,15,12 14,7,7 27,17,14 14,96,27 7,95,27 7,151,14 7,17,14 14,7,247 14,15,12 247,16,12 14,7,247 9,17,14 14,96,9 247,95,9 247,151,14 247,17,14 14,7,1066 14,15,12 1066,16,12 14,7,1066 14,7,9 14,97,14 1066,151,14 1066,95,9 1066,17,14 14,7,16 247,17,14 14,25,247 16,22,247 16,21,14 1066,17,14 247,404,1066 14,543,1066 14,402,14 1066,24,12 14,23,12 1066,203,14 12,100,14 12,99,1066 14,102,1066 9,101,1066 9,152,14 1066,6916,14 14,7202,14 14,6914,16 247,203,14 12,100,14 12,99,247 9,101,247 14,102,247 14,103,14 247,325,14 14,507,14 14,323,1066 14,7,247 14,15,12 247,16,12 14,7,247 9,17,14 14,96,9 247,95,9 247,151,14 247,17,14 1066,17,14 1066,16,12 14,15,12 1066,17,14 14,7,9 1066,151,14 14,97,14 14,96,9 14,7,1066 14,7,15 247,17,14 14,25,247 15,22,247 15,21,14 14,7,1066 247,403,14 14,402,14 14,543,1066 14,84,12 1066,85,12 14,7,16 247,17,14 247,106,20 14,107,20 14,254,247 16,253,247 16,478,14 14,7,1066 14,107,20 1066,106,20 14,9408,14 20,8274,14 20,8273,1066 15,17,14"
