,Unnamed: 0,docstring,code,partition
0,0,"bind indexed elements to the supplied collection
","protected final void bindIndexed(ConfigurationPropertyName name, Bindable<?> target,
			AggregateElementBinder elementBinder, ResolvableType aggregateType,
			ResolvableType elementType, IndexedCollectionSupplier result) {
		for (ConfigurationPropertySource source : getContext().getSources()) {
			bindIndexed(source, name, target, elementBinder, result, aggregateType,
					elementType);
			if (result.wasSupplied() && result.get() != null) {
				return;
			}
		}
	}",train
1,1,"set servlet names that the filter will be registered against
","public void setServletNames(Collection<String> servletNames) {
		Assert.notNull(servletNames, ""ServletNames must not be null"");
		this.servletNames = new LinkedHashSet<>(servletNames);
	}",train
2,2,"add servlet names for the filter
","public void addServletNames(String... servletNames) {
		Assert.notNull(servletNames, ""ServletNames must not be null"");
		this.servletNames.addAll(Arrays.asList(servletNames));
	}",train
3,3,"set the url patterns that the filter will be registered against
","public void setUrlPatterns(Collection<String> urlPatterns) {
		Assert.notNull(urlPatterns, ""UrlPatterns must not be null"");
		this.urlPatterns = new LinkedHashSet<>(urlPatterns);
	}",train
4,4,"add url patterns as defined in the servlet specification that the filter will be registered against
","public void addUrlPatterns(String... urlPatterns) {
		Assert.notNull(urlPatterns, ""UrlPatterns must not be null"");
		Collections.addAll(this.urlPatterns, urlPatterns);
	}",train
5,5,"configure registration settings
","@Override
	protected void configure(FilterRegistration.Dynamic registration) {
		super.configure(registration);
		EnumSet<DispatcherType> dispatcherTypes = this.dispatcherTypes;
		if (dispatcherTypes == null) {
			dispatcherTypes = EnumSet.of(DispatcherType.REQUEST);
		}
		Set<String> servletNames = new LinkedHashSet<>();
		for (ServletRegistrationBean<?> servletRegistrationBean : this.servletRegistrationBeans) {
			servletNames.add(servletRegistrationBean.getServletName());
		}
		servletNames.addAll(this.servletNames);
		if (servletNames.isEmpty() && this.urlPatterns.isEmpty()) {
			registration.addMappingForUrlPatterns(dispatcherTypes, this.matchAfter,
					DEFAULT_URL_MAPPINGS);
		}
		else {
			if (!servletNames.isEmpty()) {
				registration.addMappingForServletNames(dispatcherTypes, this.matchAfter,
						StringUtils.toStringArray(servletNames));
			}
			if (!this.urlPatterns.isEmpty()) {
				registration.addMappingForUrlPatterns(dispatcherTypes, this.matchAfter,
						StringUtils.toStringArray(this.urlPatterns));
			}
		}
	}",train
6,6,"add dependencies and all of their dependencies
","public DependencyCustomizer add(String... modules) {
		for (String module : modules) {
			add(module, null, null, true);
		}
		return this;
	}",train
7,7,"add a single dependency and optionally all of its dependencies
","public DependencyCustomizer add(String module, boolean transitive) {
		return add(module, null, null, transitive);
	}",train
8,8,"add a single dependency with the specified classifier and type and optionally all of its dependencies
","public DependencyCustomizer add(String module, String classifier, String type,
			boolean transitive) {
		if (canAdd()) {
			ArtifactCoordinatesResolver artifactCoordinatesResolver = this.dependencyResolutionContext
					.getArtifactCoordinatesResolver();
			this.classNode.addAnnotation(
					createGrabAnnotation(artifactCoordinatesResolver.getGroupId(module),
							artifactCoordinatesResolver.getArtifactId(module),
							artifactCoordinatesResolver.getVersion(module), classifier,
							type, transitive));
		}
		return this;
	}",train
9,9,"return a subdirectory of the application temp
","public File getDir(String subDir) {
		File dir = new File(getDir(), subDir);
		dir.mkdirs();
		return dir;
	}",train
